GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
netex-java-model,org.rutebanken.netex.model,ServiceJourneyInterchangeRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,MeetingRestriction_VersionStructure,180,0,6,0,65,0,36,0,33,0
netex-java-model,org.rutebanken.netex.model,ParkingComponent,370,0,12,0,134,0,71,0,65,0
netex-java-model,org.rutebanken.netex.model,AccessFacilityEnumeration,31,177,4,0,5,19,4,2,2,2
netex-java-model,org.rutebanken.netex.model,FareFrame_VersionFrameStructure,637,0,6,0,255,0,149,0,146,0
netex-java-model,org.rutebanken.netex.model,NavigationPathsInFrame_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,QualityStructureFactor,201,0,6,0,73,0,39,0,36,0
netex-java-model,org.rutebanken.netex.model,MonthValidityOffset_VersionedStructure,162,0,6,0,58,0,33,0,30,0
netex-java-model,org.rutebanken.netex.model,SchematicMapRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,SpecialService,404,0,18,0,141,0,76,0,67,0
netex-java-model,org.rutebanken.netex.model,TimingAlgorithmTypeRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,DestinationDisplay_VersionStructure,258,0,6,0,98,0,57,0,54,0
netex-java-model,org.rutebanken.netex.model,Line_DerivedViewStructure,113,0,0,0,46,0,28,0,28,0
netex-java-model,org.rutebanken.netex.model,HireService,210,0,12,0,70,0,39,0,33,0
netex-java-model,org.rutebanken.netex.model,OperatingDepartmentRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,DeadRunCallPartStructure,79,0,0,0,32,0,20,0,20,0
netex-java-model,org.rutebanken.netex.model,JourneyHeadway_VersionedChildStructure,172,0,6,0,62,0,35,0,32,0
